year,month,state,locality,lat,lon,individualCount,dataSource
2024,10,New South Wales,,-33.849226,151.27625,1,iNaturalist Australia
2020,1,New South Wales,,-34.064087,151.156088,1,iNaturalist Australia
2022,4,New South Wales,,-33.799924,151.297092,1,iNaturalist Australia
2019,1,Australian Capital Territory,,-35.138644,150.72286,1,iNaturalist Australia
2021,8,New South Wales,,-33.799151,151.281986,1,iNaturalist Australia
2021,12,South Australia,,-35.52263,138.185195,1,iNaturalist Australia
2023,5,New South Wales,,-33.800162,151.296217,1,iNaturalist Australia
2007,4,South Australia,,-35.557266,137.527352,1,iNaturalist Australia
2008,2,New South Wales,,-33.800618,151.293754,1,iNaturalist Australia
2021,8,South Australia,,-35.195772,138.469546,1,iNaturalist Australia
2023,11,Victoria,,-38.357254,144.773264,1,iNaturalist Australia
2024,4,South Australia,,-34.621662,135.47203,1,iNaturalist Australia
2020,12,South Australia,,-34.976711,138.420939,1,iNaturalist Australia
2021,4,Australian Capital Territory,,-35.125699,150.751525,1,iNaturalist Australia
2018,8,New South Wales,,-34.064137,151.155684,1,iNaturalist Australia
2018,2,South Australia,,-35.04454,138.50825,1,iNaturalist Australia
2025,12,New South Wales,,-33.871434,151.235058,1,iNaturalist Australia
2022,11,Victoria,,-38.356637,144.773555,1,iNaturalist Australia
2007,3,South Australia,,-35.424942,138.319621,1,iNaturalist Australia
2025,10,New South Wales,,-34.002869,151.226072,1,iNaturalist Australia
2020,2,Victoria,,-38.367222,144.822784,1,iNaturalist Australia
2019,2,Victoria,,-37.935231,144.994168,1,iNaturalist Australia
2026,1,New South Wales,,-35.781637,150.232697,1,iNaturalist Australia
2025,6,New South Wales,,-34.003483,151.227463,1,iNaturalist Australia
2020,3,Victoria,,-38.255128,145.278694,1,iNaturalist Australia
2012,12,New South Wales,,-33.991071,151.230797,1,iNaturalist Australia
2026,1,New South Wales,,-33.447063,151.450061,1,iNaturalist Australia
2021,8,New South Wales,,-33.839428,151.254225,1,iNaturalist Australia
2025,3,South Australia,,-34.729575,135.886322,1,iNaturalist Australia
2021,3,New South Wales,,-33.80027,151.275115,1,iNaturalist Australia
2025,6,New South Wales,,-33.800095,151.296294,1,iNaturalist Australia
2008,4,New South Wales,,-33.800618,151.293754,1,iNaturalist Australia
2016,5,Australian Capital Territory,,-35.117723,150.764489,1,iNaturalist Australia
2024,12,New South Wales,,-33.992233,151.229304,1,iNaturalist Australia
2024,2,South Australia,,-35.125867,138.458339,1,iNaturalist Australia
2019,11,South Australia,,-35.148456,138.465119,1,iNaturalist Australia
2008,3,South Australia,,-35.148713,138.464091,1,iNaturalist Australia
2022,3,South Australia,,-33.93398,137.6062,1,iNaturalist Australia
2023,6,Victoria,,-38.357357,144.772415,1,iNaturalist Australia
2019,3,Western Australia,,-32.021582,115.521039,1,iNaturalist Australia
2026,2,New South Wales,,-35.345915,150.479126,1,iNaturalist Australia
2021,2,New South Wales,,-33.799807,151.281031,1,iNaturalist Australia
2025,5,Victoria,,-37.98957,145.025507,1,iNaturalist Australia
2024,3,Western Australia,,-32.011108,115.498749,1,iNaturalist Australia
2021,1,New South Wales,,-33.530688,151.373866,1,iNaturalist Australia
2025,2,Victoria,,-38.342791,144.319112,1,iNaturalist Australia
2015,10,Western Australia,,-32.105666,115.76152,1,iNaturalist Australia
2024,1,South Australia,,-35.084774,137.749552,1,iNaturalist Australia
2021,4,South Australia,,-34.991877,138.508007,1,iNaturalist Australia
2024,12,New South Wales,,-35.32197,150.48323,1,iNaturalist Australia
2025,3,New South Wales,,-34.002467,151.226262,1,iNaturalist Australia
2024,2,South Australia,,-35.522854,138.185421,1,iNaturalist Australia
2020,10,Western Australia,,-35.091865,117.949729,1,iNaturalist Australia
2023,4,South Australia,,-35.34225,138.443353,1,iNaturalist Australia
2020,3,Western Australia,,-33.859059,114.987109,1,iNaturalist Australia
2021,8,Victoria,,-37.9658,144.70755,1,iNaturalist Australia
2019,4,South Australia,,-34.886981,138.489362,1,iNaturalist Australia
2020,7,New South Wales,,-33.840071,151.25408,1,iNaturalist Australia
2025,2,New South Wales,,-33.915673,151.263446,1,iNaturalist Australia
2024,10,New South Wales,,-33.850163,151.276573,1,iNaturalist Australia
